 k   z[k] dz[k] hz[k] 
    1   0.5000 _o_    1.0000
     1 ===    1.0000 === 
    2   1.5000 _o_    1.0000
     2 ===    1.0000 === 
    3   2.5000 _o_    1.0000
     3 ===    1.0000 === 
    4   3.5000 _o_    1.0000
     4 ===    1.0000 === 
    5   4.5000 _o_    1.0000
     5 ===    1.0000 === 
    6   5.5000 _o_    1.0000
     6 ===    1.0000 === 
    7   6.5000 _o_    1.0000
     7 ===    1.0000 === 
    8   7.5000 _o_    1.0000
     8 ===    1.0000 === 
    9   8.5000 _o_    1.0000
     9 ===    1.0000 === 
   10   9.5000 _o_    1.0000
    10 ===    1.0000 === 
   11  10.5000 _o_    1.0000
    11 ===    1.0000 === 
   12  11.5000 _o_    1.0000
    12 ===    1.0000 === 
   13  12.5000 _o_    1.0000
    13 ===    1.0000 === 
   14  13.5000 _o_    1.0000
    14 ===    1.0000 === 
   15  14.5000 _o_    1.0000
    15 ===    1.0000 === 
   16  15.5000 _o_    1.0000
    16 ===    1.0000 === 
   17  16.5000 _o_    1.0000
    17 ===    1.0000 === 
   18  17.5000 _o_    1.0000
    18 ===    1.0000 === 
   19  18.5000 _o_    1.0000
    19 ===    1.0000 === 
   20  19.5000 _o_    1.0000
    20 ===    1.0000 === 
   21  20.5000 _o_    1.0000
    21 ===    1.0000 === 
   22  21.5000 _o_    1.0000
    22 ===    1.0000 === 
   23  22.5000 _o_    1.0000
    23 ===    1.0000 === 
   24  23.5000 _o_    1.0000
    24 ===    1.0000 === 
   25  24.5000 _o_    1.0000
    25 ===    1.0000 === 
   26  25.5000 _o_    1.0000
    26 ===    1.0000 === 
   27  26.5000 _o_    1.0000
    27 ===    1.0000 === 
   28  27.5000 _o_    1.0000
    28 ===    1.0000 === 
   29  28.5000 _o_    1.0000
    29 ===    1.0000 === 
   30  29.5000 _o_    1.0000
    30 ===    1.0000 === 
   31  30.5000 _o_    1.0000
    31 ===    1.0000 === 
   32  31.5000 _o_    1.0000
    32 ===    1.0000 === 
   33  32.5000 _o_    1.0000
    33 ===    1.0000 === 
   34  33.5000 _o_    1.0000
    34 ===    1.0000 === 
   35  34.5000 _o_    1.0000
    35 ===    1.0000 === 
   36  35.5000 _o_    1.0000
    36 ===    1.0000 === 
   37  36.5000 _o_    1.0000
    37 ===    1.0000 === 
   38  37.5000 _o_    1.0000
    38 ===    1.0000 === 
   39  38.5000 _o_    1.0000
    39 ===    1.0000 === 
   40  39.5000 _o_    1.0000
    40 ===    1.0000 === 
   41  40.5000 _o_    1.0000
    41 ===    1.0000 === 
   42  41.5000 _o_    1.0000
    42 ===    1.0000 === 
   43  42.5000 _o_    1.0000
    43 ===    1.0000 === 
   44  43.5000 _o_    1.0000
    44 ===    1.0000 === 
   45  44.5000 _o_    1.0000
    45 ===    1.0000 === 
   46  45.5000 _o_    1.0000
    46 ===    1.0000 === 
   47  46.5000 _o_    1.0000
    47 ===    1.0000 === 
   48  47.5000 _o_    1.0000
    48 ===    1.0000 === 
   49  48.5000 _o_    1.0000
    49 ===    1.0000 === 
   50  49.5000 _o_    1.0000
    50 ===    1.0000 === 
   51  50.5000 _o_    1.0000
    51 ===    1.0000 === 
   52  51.5000 _o_    1.0000
    52 ===    1.0000 === 
   53  52.5000 _o_    1.0000
    53 ===    1.0000 === 
   54  53.5000 _o_    1.0000
    54 ===    1.0000 === 
   55  54.5000 _o_    1.0000
    55 ===    1.0000 === 
   56  55.5000 _o_    1.0000
    56 ===    1.0000 === 
   57  56.5000 _o_    1.0000
    57 ===    1.0000 === 
   58  57.5000 _o_    1.0000
    58 ===    1.0000 === 
   59  58.5000 _o_    1.0000
    59 ===    1.0000 === 
   60  59.5000 _o_    1.0000
    60 ===    1.0000 === 
   61  60.5000 _o_    1.0000
    61 ===    1.0000 === 
   62  61.5000 _o_    1.0000
    62 ===    1.0000 === 
   63  62.5000 _o_    1.0000
    63 ===    1.0000 === 
   64  63.5000 _o_    1.0000
    64 ===    1.0000 === 
